English,Portuguese
Customer Service,Atendimento ao Cliente
In our present world,Em nosso mundo atual
where the customer is a king,Onde o cliente é um rei
where customer is first,Onde o cliente está em primeiro lugar
where you can choose to deal with a company,Onde você pode optar negociar com uma empresa
or another one,ou outra
competition rules the markets,a concorrência governa os mercados
consumers like to be shown interest,Consumidores gostam que demonstrem interesse
and to be sure their satisfaction,e para ter certeza de sua satisfação
and well-being are taken into consideration,e o bem estar são levados em consideração
Each consumer likes to be regarded as an individual,Cada consumidor gosta de ser considerado um indivíduo
with his own tastes ,Com seus próprios gostos
and his precise needs and demands,e suas necessidades e demandas precisas
Through their consumer services,Por meio de seus serviços ao consumidor
companies reflect the respect they show their clients,as empresas refletem o respeito que demonstram aos seus clientes
and how they keep their commitments towards the clients,e como eles mantêm seus compromissos com os clientes
a constumer serivce rep must think,um representante de atendimento ao cliente deve pensar
act in a positive way,agir de forma positiva
and be efficient,e ser eficiente
if not,caso contrário
customers look aside to the compotitors,os cliente olham para os concorrentes ao lado
make sure the initial company is given the publicity it deserves,certifique-se de que a empresa inicial receba a publicidade que merece
There's a lot at stake,Há muita coisa em jogo
the game has rules that you should know,o jogo tem regras que você deve conhecer
customer service representative,representante de atendimento ao cliente
customer service training,treinamento de atendimento ao cliente
the sales department,o departamento de vendas
over-the-phone customer service,atendimento ao cliente por telefone
face-to-face customer service,atendimento ao cliente presencial
outsourcing,terceirização
customer  loyalty,lealdade do consumidor
brand loyalty,fidelidade à marca
automated customer service,atendimento ao cliente automatizado
They provide customer service,Eles fornecem atendimento ao cliente
training given to future customer service representative,formação ministrada a futuros representates de atendimento ao cliente
customer helpned over the phone,Os clientes ajudaram por telefone
customer helpned in person,Os cliente ajudaram pessoalmente
purchasing from an outside supplier,Comprar de um fornecedor externo
where high volume of phone calls is handled,Onde um grande volume de chamadas telefônicas é atendido
customer don't buy from the competition,Os clientes não compram da concorrência
constumer service handled by an automatic process,atendimento ao cliente tratado por um processo automático
